,Filtered_reads
01-02-02-04_S35_F_filt.fastq,117
01-02-04-06_S177_F_filt.fastq,455
01-02-04-07_S169_F_filt.fastq,183
03-01-01-04-1_S224_F_filt.fastq,204
03-02-02-04_S45_F_filt.fastq,4294
03-02-02-13_S65_F_filt.fastq,10402
04-02-02-02_S2_F_filt.fastq,14899
04-02-02-08_S126_F_filt.fastq,29684
11-02-02-03_S110_F_filt.fastq,105
11-02-03-01_S204_F_filt.fastq,35
12-02-01-13_S80_F_filt.fastq,139
12-02-03-07_S189_F_filt.fastq,31
12-02-03-08_S258_F_filt.fastq,252
14-02-02-01_S232_F_filt.fastq,644
BLANK_S146_F_filt.fastq,18435
BLANK_S147_F_filt.fastq,541
BLANK_S155_F_filt.fastq,74
BLANK_S162_F_filt.fastq,57
BLANK_S163_F_filt.fastq,65
BLANK_S170_F_filt.fastq,141
BLANK_S19_F_filt.fastq,59
BLANK_S196_F_filt.fastq,173
BLANK_S217_F_filt.fastq,202
BLANK_S241_F_filt.fastq,77
BLANK_S256_F_filt.fastq,114
BLANK_S257_F_filt.fastq,289
BLANK_S261_F_filt.fastq,42
BLANK_S27_F_filt.fastq,3763
BLANK_S276_F_filt.fastq,86
BLANK_S33_F_filt.fastq,116
BLANK_S60_F_filt.fastq,88
BLANK_S63_F_filt.fastq,163
BLANK_S76_F_filt.fastq,536
BLANK_S79_F_filt.fastq,125
BLANK_S97_F_filt.fastq,113
G01-A02_S233_F_filt.fastq,10562
G01-A02_S93_F_filt.fastq,26560
G01-D01_S99_F_filt.fastq,825
G01-E04_S12_F_filt.fastq,4262
G01-E04_S55_F_filt.fastq,2232
G01-F09_S212_F_filt.fastq,625
G01-F09_S75_F_filt.fastq,557
G02-A09_S113_F_filt.fastq,18581
G02-B07_S7_F_filt.fastq,6710
G02-D03_S3_F_filt.fastq,49846
G02-E03_S89_F_filt.fastq,32575
G02-E05_S158_F_filt.fastq,4856
G02-E05_S185_F_filt.fastq,24233
G02-E06_S209_F_filt.fastq,51491
G02-E08_S246_F_filt.fastq,28947
G02-F03_S165_F_filt.fastq,27726
G02-F04_S41_F_filt.fastq,24103
G03-A06_S270_F_filt.fastq,39078
G03-B06_S222_F_filt.fastq,70675
