,Taxa,Ecotype,Abundance
18,Ampithoidae,Intermediate,0
51,Ampithoidae,Benthic,3
84,Ampithoidae,Littoral,2
19,Apidae,Intermediate,0
52,Apidae,Benthic,6
85,Apidae,Littoral,2
15,Baetidae,Intermediate,0
48,Baetidae,Benthic,4
81,Baetidae,Littoral,5
5,Carabidae,Intermediate,4
38,Carabidae,Benthic,2
71,Carabidae,Littoral,5
4,Chironomidae,Intermediate,9
37,Chironomidae,Benthic,20
70,Chironomidae,Littoral,19
3,Cyclopidae,Intermediate,8
36,Cyclopidae,Benthic,30
69,Cyclopidae,Littoral,14
17,Formicidae,Intermediate,1
50,Formicidae,Benthic,5
83,Formicidae,Littoral,11
30,Mycetophilidae,Intermediate,0
63,Mycetophilidae,Benthic,7
96,Mycetophilidae,Littoral,2
2,Polymitarcyidae,Intermediate,4
35,Polymitarcyidae,Benthic,2
68,Polymitarcyidae,Littoral,15
11,Simuliidae,Intermediate,8
44,Simuliidae,Benthic,2
77,Simuliidae,Littoral,10
6,Undetermined_arthropoda,Intermediate,16
39,Undetermined_arthropoda,Benthic,54
72,Undetermined_arthropoda,Littoral,60
1,Undetermined_diptera,Intermediate,7
34,Undetermined_diptera,Benthic,18
67,Undetermined_diptera,Littoral,2
9,Undetermined_lepidoptera,Intermediate,0
42,Undetermined_lepidoptera,Benthic,0
75,Undetermined_lepidoptera,Littoral,4
