,Field_ID,Date,Season,Field_ID.1,Standard_length
G01-A02_S233_F_filt.fastq,G01A02,Jul_14,Summer_14,Intermediate,53.8
G01-A02_S93_F_filt.fastq,G01A02,Jul_14,Summer_14,Intermediate,53.8
G01-D01_S99_F_filt.fastq,G01D01,Jul_14,Summer_14,Intermediate,54.4
G01-E04_S12_F_filt.fastq,G01E04,Jul_14,Summer_14,Intermediate,54
G01-E04_S55_F_filt.fastq,G01E04,Jul_14,Summer_14,Intermediate,54
G01-F09_S212_F_filt.fastq,G01F09,Aug_14,Summer_14,Intermediate,49.2
G01-F09_S75_F_filt.fastq,G01F09,Aug_14,Summer_14,Intermediate,49.2
G02-A09_S113_F_filt.fastq,G02A09,Aug_14,Summer_14,Intermediate,52.1
G02-B07_S7_F_filt.fastq,G02B07,Aug_14,Summer_14,Littoral,80
G02-D03_S3_F_filt.fastq,G02D03,Aug_14,Summer_14,Benthic,93.7
G02-E03_S89_F_filt.fastq,G02E03,Aug_14,Summer_14,Intermediate,44.4
G02-E05_S158_F_filt.fastq,G02E05,Aug_14,Summer_14,Intermediate,47.5
G02-E05_S185_F_filt.fastq,G02E05,Aug_14,Summer_14,Intermediate,47.5
G02-E06_S209_F_filt.fastq,G02E06,Aug_14,Summer_14,Intermediate,47.3
G02-E08_S246_F_filt.fastq,G02E08,Aug_14,Summer_14,Intermediate,42.5
G02-F03_S165_F_filt.fastq,G02F03,Aug_14,Summer_14,Intermediate,51.2
G02-F04_S41_F_filt.fastq,G02F04,Aug_14,Summer_14,Intermediate,51
G03-A06_S270_F_filt.fastq,G03A06,Dec_14,Winter_14,Littoral,60.22
G03-B06_S222_F_filt.fastq,G03B06,Dec_14,Winter_14,Intermediate,61.47
G03-C01_S281_F_filt.fastq,G03C01,Dec_14,Winter_14,Intermediate,59.52
G03-C03_S242_F_filt.fastq,G03C03,Dec_14,Winter_14,Intermediate,61.71
G03-C05_S123_F_filt.fastq,G03C05,Dec_14,Winter_14,Intermediate,62.49
G03-F07_S208_F_filt.fastq,G03F07,Dec_14,Winter_14,Littoral,89.31
G03-F07_S83_F_filt.fastq,G03F07,Dec_14,Winter_14,Littoral,89.31
G03-G04_S16_F_filt.fastq,G03G04,Dec_14,Winter_14,Littoral,84.76
G03-G04_S198_F_filt.fastq,G03G04,Dec_14,Winter_14,Littoral,84.76
G03-J08_S174_F_filt.fastq,G03J08,Dec_14,Winter_14,Littoral,63.48
G04-D03_S266_F_filt.fastq,G04D03,Dec_14,Winter_14,Littoral,64.56
G04-G05_S31_F_filt.fastq,G04G05,Dec_14,Winter_14,Benthic,85.51
G06-G05_S103_F_filt.fastq,G06G05,Dec_14,Winter_14,Littoral,86.18
G08-A02_S203_F_filt.fastq,G08A02,Aug_15,Summer_15,Benthic,85
G08-A09_S227_F_filt.fastq,G08A09,Aug_15,Summer_15,Benthic,72
G08-B02_S159_F_filt.fastq,G08B02,Aug_15,Summer_15,Benthic,81.5
G08-B03_S265_F_filt.fastq,G08B03,Aug_15,Summer_15,Benthic,64
G08-B04_S37_F_filt.fastq,G08B04,Aug_15,Summer_15,Benthic,72.5
G08-B05_S271_F_filt.fastq,G08B05,Aug_15,Summer_15,Benthic,74
G08-B06_S173_F_filt.fastq,G08B06,Aug_15,Summer_15,Benthic,84.5
G08-B06_S61_F_filt.fastq,G08B06,Aug_15,Summer_15,Benthic,84.5
G08-B07_S108_F_filt.fastq,G08B07,Aug_15,Summer_15,Benthic,72
G08-B08_S133_F_filt.fastq,G08B08,Aug_15,Summer_15,Benthic,85
G08-B08_S207_F_filt.fastq,G08B08,Aug_15,Summer_15,Benthic,85
G08-B09_S194_F_filt.fastq,G08B09,Aug_15,Summer_15,Benthic,84
G08-B09_S86_F_filt.fastq,G08B09,Aug_15,Summer_15,Benthic,84
G08-C01_S230_F_filt.fastq,G08C01,Aug_15,Summer_15,Benthic,84
G08-C02_S156_F_filt.fastq,G08C02,Aug_15,Summer_15,Benthic,74.5
G08-C03_S226_F_filt.fastq,G08C03,Aug_15,Summer_15,Benthic,87
G08-C06_S135_F_filt.fastq,G08C06,Aug_15,Summer_15,Benthic,0
G08-D01_S182_F_filt.fastq,G08D01,Aug_15,Summer_15,Benthic,87
G08-D02_S131_F_filt.fastq,G08D02,Aug_15,Summer_15,Benthic,78
G08-D03_S102_F_filt.fastq,G08D03,Aug_15,Summer_15,Benthic,86
G08-D03_S245_F_filt.fastq,G08D03,Aug_15,Summer_15,Benthic,86
G08-D04_S107_F_filt.fastq,G08D04,Aug_15,Summer_15,Benthic,81
G08-D05_S179_F_filt.fastq,G08D05,Aug_15,Summer_15,Benthic,0
G08-D07_S15_F_filt.fastq,G08D07,Aug_15,Summer_15,Benthic,73.5
G08-D07_S160_F_filt.fastq,G08D07,Aug_15,Summer_15,Benthic,73.5
G08-D07_S184_F_filt.fastq,G08D07,Aug_15,Summer_15,Benthic,73.5
G08-D07_S85_F_filt.fastq,G08D07,Aug_15,Summer_15,Benthic,73.5
G08-D10_S39_F_filt.fastq,G08D10,Aug_15,Summer_15,Benthic,76.74
G08-E01_S112_F_filt.fastq,G08E01,Aug_15,Summer_15,Benthic,81.51
G08-E01_S250_F_filt.fastq,G08E01,Aug_15,Summer_15,Benthic,81.51
