,Filtered_reads
01-02-02-04_S35_F_filt.fastq,404
01-02-04-06_S177_F_filt.fastq,1940
01-02-04-07_S169_F_filt.fastq,655
03-01-01-04-1_S224_F_filt.fastq,237
03-02-02-04_S45_F_filt.fastq,46601
03-02-02-13_S65_F_filt.fastq,66256
04-02-02-02_S2_F_filt.fastq,35101
04-02-02-08_S126_F_filt.fastq,23478
11-02-02-03_S110_F_filt.fastq,411
11-02-03-01_S204_F_filt.fastq,768
12-02-01-13_S80_F_filt.fastq,190
12-02-03-07_S189_F_filt.fastq,849
12-02-03-08_S258_F_filt.fastq,999
14-02-02-01_S232_F_filt.fastq,31116
BLANK_S146_F_filt.fastq,23385
BLANK_S147_F_filt.fastq,21473
BLANK_S155_F_filt.fastq,1005
BLANK_S162_F_filt.fastq,364
BLANK_S163_F_filt.fastq,473
BLANK_S170_F_filt.fastq,369
BLANK_S19_F_filt.fastq,13663
BLANK_S196_F_filt.fastq,3
BLANK_S217_F_filt.fastq,292
BLANK_S241_F_filt.fastq,437
BLANK_S256_F_filt.fastq,602
BLANK_S257_F_filt.fastq,376
BLANK_S261_F_filt.fastq,143
BLANK_S27_F_filt.fastq,28610
BLANK_S276_F_filt.fastq,249
BLANK_S33_F_filt.fastq,780
BLANK_S60_F_filt.fastq,97
BLANK_S63_F_filt.fastq,248
BLANK_S76_F_filt.fastq,4
BLANK_S79_F_filt.fastq,178
BLANK_S97_F_filt.fastq,212
G01-A02_S233_F_filt.fastq,69243
G01-A02_S93_F_filt.fastq,50485
G01-D01_S99_F_filt.fastq,45664
G01-E04_S12_F_filt.fastq,14696
G01-E04_S55_F_filt.fastq,12309
G01-F09_S212_F_filt.fastq,14210
G01-F09_S75_F_filt.fastq,7143
G02-A09_S113_F_filt.fastq,51043
G02-B07_S7_F_filt.fastq,35270
G02-D03_S3_F_filt.fastq,51232
G02-E03_S89_F_filt.fastq,70434
G02-E05_S158_F_filt.fastq,31956
G02-E05_S185_F_filt.fastq,53677
G02-E06_S209_F_filt.fastq,84388
G02-E08_S246_F_filt.fastq,45676
G02-F03_S165_F_filt.fastq,83700
G02-F04_S41_F_filt.fastq,63033
G03-A06_S270_F_filt.fastq,20963
G03-B06_S222_F_filt.fastq,28547
G03-C01_S281_F_filt.fastq,45357
G03-C03_S242_F_filt.fastq,31937
G03-C05_S123_F_filt.fastq,27429
G03-F07_S208_F_filt.fastq,43067
G03-F07_S83_F_filt.fastq,20807
G03-G04_S16_F_filt.fastq,13674
G03-G04_S198_F_filt.fastq,23715
G03-G10_S150_F_filt.fastq,19793
G03-J08_S174_F_filt.fastq,28086
G04-D03_S266_F_filt.fastq,19651
G04-G05_S31_F_filt.fastq,21442
G06-G05_S103_F_filt.fastq,31580
G08-A02_S171_F_filt.fastq,1096
G08-A02_S203_F_filt.fastq,34636
G08-A09_S227_F_filt.fastq,22877
G08-B02_S159_F_filt.fastq,46569
G08-B03_S265_F_filt.fastq,22591
G08-B04_S37_F_filt.fastq,20392
G08-B05_S271_F_filt.fastq,19519
G08-B06_S173_F_filt.fastq,18186
G08-B06_S61_F_filt.fastq,14757
G08-B07_S108_F_filt.fastq,38798
G08-B08_S133_F_filt.fastq,32658
G08-B08_S207_F_filt.fastq,53227
G08-B09_S194_F_filt.fastq,24950
G08-B09_S86_F_filt.fastq,21142
G08-C01_S230_F_filt.fastq,24390
G08-C02_S156_F_filt.fastq,37398
G08-C02_S218_F_filt.fastq,26275
G08-C03_S226_F_filt.fastq,25206
G08-C06_S135_F_filt.fastq,37973
G08-D01_S182_F_filt.fastq,23781
G08-D02_S131_F_filt.fastq,28034
G08-D03_S102_F_filt.fastq,17908
G08-D03_S245_F_filt.fastq,41305
G08-D03_S268_F_filt.fastq,8
G08-D04_S107_F_filt.fastq,31653
G08-D05_S179_F_filt.fastq,30535
G08-D07_S15_F_filt.fastq,16989
G08-D07_S160_F_filt.fastq,34384
G08-D07_S184_F_filt.fastq,24289
G08-D07_S85_F_filt.fastq,27831
G08-D10_S39_F_filt.fastq,19180
G08-E01_S112_F_filt.fastq,53906
G08-E01_S250_F_filt.fastq,39009
G08-E02_S164_F_filt.fastq,74248
G08-E03_S84_F_filt.fastq,22465
G08-E04_S87_F_filt.fastq,28399
G08-E05_S111_F_filt.fastq,55022
G08-E05_S88_F_filt.fastq,24019
G08-E07_S136_F_filt.fastq,40217
G08-E07_S274_F_filt.fastq,59410
G08-E07_S51_F_filt.fastq,15457
G08-E08_S161_F_filt.fastq,100802
G08-E08_S59_F_filt.fastq,16
G08-E09_S11_F_filt.fastq,13485
G08-F07_S109_F_filt.fastq,42195
G08-G01_S134_F_filt.fastq,36531
G08-G01_S137_F_filt.fastq,82074
G08-G03_S40_F_filt.fastq,12337
G08-G03-GL_S280_F_filt.fastq,44052
G08-H06_S237_F_filt.fastq,55964
G08-H06_S36_F_filt.fastq,13400
G08-H08_S140_F_filt.fastq,60245
G08-H09_S206_F_filt.fastq,28473
G08-H10_S157_F_filt.fastq,4283
G08-H10_S181_F_filt.fastq,28799
G08-H10_S255_F_filt.fastq,44965
G08-I01_S221_F_filt.fastq,30991
G08-I01_S38_F_filt.fastq,14848
G08-I02_S197_F_filt.fastq,23070
G08-I02_S254_F_filt.fastq,31372
G08-I02_S98_F_filt.fastq,3919
G08-I03_S122_F_filt.fastq,4057
G08-I04_S62_F_filt.fastq,12
G08-I05_S6_F_filt.fastq,496
G08-I07_S154_F_filt.fastq,27113
G08-I08_S229_F_filt.fastq,40092
G08-I09_S202_F_filt.fastq,52229
G08E05_S180_F_filt.fastq,29478
G09-B-08_S228_F_filt.fastq,34949
G09-B-08_S275_F_filt.fastq,58653
G09-B06_S278_F_filt.fastq,22251
G09-B06_S64_F_filt.fastq,71207
G09-B07_S17_F_filt.fastq,53261
G09-B07_S58_F_filt.fastq,11801
G09-B08_S141_F_filt.fastq,64951
G09-B08_S30_F_filt.fastq,25430
G09-B09_S106_F_filt.fastq,49965
G09-B10_S82_F_filt.fastq,19234
G09-C01_S132_F_filt.fastq,29925
G09-C01_S14_F_filt.fastq,7018
G09-C02_S105_F_filt.fastq,23219
G09-C02_S205_F_filt.fastq,43357
G09-C03_S34_F_filt.fastq,20340
G09-C04_S28_F_filt.fastq,0
G09-C04_S92_F_filt.fastq,44888
G09-C05_S116_F_filt.fastq,84287
G09-C05_S130_F_filt.fastq,34492
G09-C05_S178_F_filt.fastq,22973
G09-C05_S54_F_filt.fastq,83984
G09-C07_S149_F_filt.fastq,16148
G09-C07_S26_F_filt.fastq,23160
G09-C08_S117_F_filt.fastq,53685
G09-C08_S13_F_filt.fastq,18575
G09-C08_S50_F_filt.fastq,768
G09-C09_S10_F_filt.fastq,15282
G09-D02_S200_F_filt.fastq,21732
G09-D02_S231_F_filt.fastq,42850
G09-D02_S277_F_filt.fastq,41966
G09-D08_S234_F_filt.fastq,398
G09-D08_S74_F_filt.fastq,813
G09-E02_S172_F_filt.fastq,0
G09-E02_S220_F_filt.fastq,0
G09-G02_S269_F_filt.fastq,18229
G09-G06_S252_F_filt.fastq,46098
G10-C03_S249_F_filt.fastq,41958
G10-C03_S9_F_filt.fastq,8509
G10-C03-GL_S57_F_filt.fastq,228
G10-C04_S279_F_filt.fastq,35282
G10-C04_S90_F_filt.fastq,51402
G10-D05-GL-ONLY_S188_F_filt.fastq,76374
G10-D06_S18_F_filt.fastq,41279
G10-D06-GL-ONLY_S186_F_filt.fastq,53183
G10-D06-GL-ONLY_S236_F_filt.fastq,90490
G10-D08_S127_F_filt.fastq,23462
G10-D10_S77_F_filt.fastq,38000
G10-E02_S183_F_filt.fastq,31479
G10-E02_S273_F_filt.fastq,39643
G10-E03_S193_F_filt.fastq,19962
G10-E04_S145_F_filt.fastq,22365
G10-E05_S124_F_filt.fastq,5
G10-E06_S100_F_filt.fastq,3
G10-E06_S68_F_filt.fastq,65524
G10-E08_S29_F_filt.fastq,31927
G10-E09-GL-ONLY_S69_F_filt.fastq,45345
G10-E10_S5_F_filt.fastq,44418
G10-F01_S101_F_filt.fastq,32953
G10-F02_S152_F_filt.fastq,20666
G10-F03_S201_F_filt.fastq,47424
G10-F04_S267_F_filt.fastq,4663
G10-F04-GL_S259_F_filt.fastq,187444
G10-F05GL_S138_F_filt.fastq,55202
G10-F06_S4_F_filt.fastq,0
G10-F07_S104_F_filt.fastq,42851
G10-F08_S25_F_filt.fastq,17819
G10-F09_S114_F_filt.fastq,58510
