,Kingdom,Phylum,Class,Order,Family,Genus,Species
SEQ653,unknown_kingdom,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,undetermined,undetermined
SEQ181,unknown_kingdom,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,undetermined,undetermined
SEQ497,unknown_kingdom,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,undetermined,undetermined
SEQ184,unknown_kingdom,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,undetermined,undetermined
SEQ416,unknown_kingdom,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,undetermined,undetermined
SEQ577,unknown_kingdom,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,undetermined,undetermined
SEQ1181,unknown_kingdom,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,undetermined,undetermined
SEQ320,unknown_kingdom,Proteobacteria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ573,unknown_kingdom,Proteobacteria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ870,unknown_kingdom,Proteobacteria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1067,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_sphaerospermum
SEQ639,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,undetermined
SEQ549,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,undetermined
SEQ621,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,undetermined
SEQ586,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,undetermined
SEQ722,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,undetermined
SEQ575,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,undetermined,undetermined
SEQ516,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,undetermined,undetermined
SEQ673,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,undetermined,undetermined
SEQ931,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,undetermined,undetermined
SEQ484,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,undetermined,undetermined
SEQ915,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,undetermined,undetermined
SEQ719,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,undetermined,undetermined
SEQ651,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,Phoma_sp._1_OB-2014
SEQ737,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,undetermined,undetermined
SEQ539,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,undetermined,undetermined
SEQ1169,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,undetermined,undetermined
SEQ488,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,undetermined,undetermined
SEQ766,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,undetermined,undetermined
SEQ313,Fungi,Ascomycota,Dothideomycetes,Pleosporales,undetermined,undetermined,undetermined
SEQ1051,Fungi,Ascomycota,Dothideomycetes,Pleosporales,undetermined,undetermined,undetermined
SEQ266,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_lecanii-corni
SEQ1122,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,undetermined,undetermined
SEQ705,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,undetermined,undetermined
SEQ252,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,undetermined,undetermined
SEQ863,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,undetermined,undetermined
SEQ1104,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,undetermined,undetermined
SEQ650,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,undetermined,undetermined
SEQ301,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,undetermined,undetermined,undetermined
SEQ1101,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,undetermined,undetermined
SEQ1170,Fungi,Ascomycota,Leotiomycetes,Chaetomellales,Chaetomellaceae,undetermined,undetermined
SEQ540,Fungi,Ascomycota,Leotiomycetes,Chaetomellales,Chaetomellaceae,undetermined,undetermined
SEQ762,Fungi,Ascomycota,Leotiomycetes,unknown_order,Pseudeurotiaceae,undetermined,undetermined
SEQ824,Fungi,Ascomycota,Leotiomycetes,unknown_order,Pseudeurotiaceae,undetermined,undetermined
SEQ942,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,undetermined,undetermined
