,Raw_reads
01-02-02-04_S35_F_filt.fastq,196
01-02-04-06_S177_F_filt.fastq,600
01-02-04-07_S169_F_filt.fastq,399
03-01-01-04-1_S224_F_filt.fastq,282
03-02-02-04_S45_F_filt.fastq,5642
03-02-02-13_S65_F_filt.fastq,13604
04-02-02-02_S2_F_filt.fastq,20930
04-02-02-08_S126_F_filt.fastq,36349
11-02-02-03_S110_F_filt.fastq,165
11-02-03-01_S204_F_filt.fastq,46
12-02-01-13_S80_F_filt.fastq,176
12-02-03-07_S189_F_filt.fastq,65
12-02-03-08_S258_F_filt.fastq,314
14-02-02-01_S232_F_filt.fastq,1025
BLANK_S146_F_filt.fastq,25135
BLANK_S147_F_filt.fastq,825
BLANK_S155_F_filt.fastq,219
BLANK_S162_F_filt.fastq,88
BLANK_S163_F_filt.fastq,101
BLANK_S170_F_filt.fastq,216
BLANK_S19_F_filt.fastq,87
BLANK_S196_F_filt.fastq,473
BLANK_S217_F_filt.fastq,363
BLANK_S241_F_filt.fastq,163
BLANK_S256_F_filt.fastq,163
BLANK_S257_F_filt.fastq,538
BLANK_S261_F_filt.fastq,59
BLANK_S27_F_filt.fastq,5477
BLANK_S276_F_filt.fastq,241
BLANK_S33_F_filt.fastq,439
BLANK_S60_F_filt.fastq,312
BLANK_S63_F_filt.fastq,435
BLANK_S76_F_filt.fastq,1233
BLANK_S79_F_filt.fastq,192
BLANK_S97_F_filt.fastq,287
G01-A02_S233_F_filt.fastq,12589
G01-A02_S93_F_filt.fastq,31515
G01-D01_S99_F_filt.fastq,1100
G01-E04_S12_F_filt.fastq,5199
G01-E04_S55_F_filt.fastq,3561
G01-F09_S212_F_filt.fastq,731
G01-F09_S75_F_filt.fastq,1125
G02-A09_S113_F_filt.fastq,21927
G02-B07_S7_F_filt.fastq,8051
G02-D03_S3_F_filt.fastq,59888
G02-E03_S89_F_filt.fastq,38818
G02-E05_S158_F_filt.fastq,5769
G02-E05_S185_F_filt.fastq,28649
G02-E06_S209_F_filt.fastq,60868
G02-E08_S246_F_filt.fastq,34385
G02-F03_S165_F_filt.fastq,33308
G02-F04_S41_F_filt.fastq,29403
G03-A06_S270_F_filt.fastq,45712
G03-B06_S222_F_filt.fastq,82116
G03-C01_S281_F_filt.fastq,34040
G03-C03_S242_F_filt.fastq,38275
G03-C05_S123_F_filt.fastq,49170
G03-F07_S208_F_filt.fastq,24329
G03-F07_S83_F_filt.fastq,26550
G03-G04_S16_F_filt.fastq,33718
G03-G04_S198_F_filt.fastq,44956
G03-G10_S150_F_filt.fastq,8729
G03-J08_S174_F_filt.fastq,15691
G04-D03_S266_F_filt.fastq,48042
G04-G05_S31_F_filt.fastq,28862
G06-G05_S103_F_filt.fastq,59950
G08-A02_S171_F_filt.fastq,44939
G08-A02_S203_F_filt.fastq,1218
G08-A09_S227_F_filt.fastq,78796
G08-B02_S159_F_filt.fastq,2627
G08-B03_S265_F_filt.fastq,233
G08-B04_S37_F_filt.fastq,28799
G08-B05_S271_F_filt.fastq,24836
G08-B06_S173_F_filt.fastq,1667
G08-B06_S61_F_filt.fastq,5351
G08-B07_S108_F_filt.fastq,27650
G08-B08_S133_F_filt.fastq,39980
G08-B08_S207_F_filt.fastq,67746
G08-B09_S194_F_filt.fastq,1567
G08-B09_S86_F_filt.fastq,25494
G08-C01_S230_F_filt.fastq,10818
G08-C02_S156_F_filt.fastq,78050
G08-C02_S218_F_filt.fastq,82569
G08-C03_S226_F_filt.fastq,59856
G08-C06_S135_F_filt.fastq,49194
G08-D01_S182_F_filt.fastq,4003
G08-D02_S131_F_filt.fastq,31028
G08-D03_S102_F_filt.fastq,46179
G08-D03_S245_F_filt.fastq,696
G08-D03_S268_F_filt.fastq,221
G08-D04_S107_F_filt.fastq,37345
G08-D05_S179_F_filt.fastq,39219
G08-D07_S15_F_filt.fastq,6427
G08-D07_S160_F_filt.fastq,2304
G08-D07_S184_F_filt.fastq,21859
G08-D07_S85_F_filt.fastq,33909
G08-D10_S39_F_filt.fastq,59920
G08-E01_S112_F_filt.fastq,32425
G08-E01_S250_F_filt.fastq,24151
G08-E02_S164_F_filt.fastq,60821
G08-E03_S84_F_filt.fastq,22941
G08-E04_S87_F_filt.fastq,5780
G08-E05_S111_F_filt.fastq,30350
G08-E05_S88_F_filt.fastq,25208
G08-E07_S136_F_filt.fastq,38196
G08-E07_S274_F_filt.fastq,39269
G08-E07_S51_F_filt.fastq,37401
G08-E08_S161_F_filt.fastq,50855
G08-E08_S59_F_filt.fastq,72601
G08-E09_S11_F_filt.fastq,40646
G08-F07_S109_F_filt.fastq,47526
G08-G01_S134_F_filt.fastq,250
G08-G01_S137_F_filt.fastq,911
G08-G03_S40_F_filt.fastq,43190
G08-G03-GL_S280_F_filt.fastq,42478
G08-H06_S237_F_filt.fastq,93344
G08-H06_S36_F_filt.fastq,54220
G08-H08_S140_F_filt.fastq,68457
G08-H09_S206_F_filt.fastq,3395
G08-H10_S157_F_filt.fastq,85576
G08-H10_S181_F_filt.fastq,39219
G08-H10_S255_F_filt.fastq,47459
G08-I01_S221_F_filt.fastq,127
G08-I01_S38_F_filt.fastq,2548
G08-I02_S197_F_filt.fastq,2747
G08-I02_S254_F_filt.fastq,177
G08-I02_S98_F_filt.fastq,3534
G08-I03_S122_F_filt.fastq,263
G08-I04_S62_F_filt.fastq,84265
G08-I05_S6_F_filt.fastq,423
G08-I07_S154_F_filt.fastq,104882
G08-I08_S229_F_filt.fastq,736
G08-I09_S202_F_filt.fastq,883
G08E05_S180_F_filt.fastq,41817
G09-B-08_S228_F_filt.fastq,18022
G09-B-08_S275_F_filt.fastq,37037
G09-B06_S278_F_filt.fastq,29
G09-B06_S64_F_filt.fastq,83706
G09-B07_S17_F_filt.fastq,78393
G09-B07_S58_F_filt.fastq,69499
G09-B08_S141_F_filt.fastq,55826
G09-B08_S30_F_filt.fastq,31074
G09-B09_S106_F_filt.fastq,42689
G09-B10_S82_F_filt.fastq,41857
G09-C01_S132_F_filt.fastq,39448
G09-C01_S14_F_filt.fastq,25507
G09-C02_S105_F_filt.fastq,18679
G09-C02_S205_F_filt.fastq,1678
G09-C03_S34_F_filt.fastq,55060
G09-C04_S28_F_filt.fastq,23713
G09-C04_S92_F_filt.fastq,65323
G09-C05_S116_F_filt.fastq,94683
G09-C05_S130_F_filt.fastq,49695
G09-C05_S178_F_filt.fastq,36381
G09-C05_S54_F_filt.fastq,48425
G09-C07_S149_F_filt.fastq,8678
G09-C07_S26_F_filt.fastq,18916
G09-C08_S117_F_filt.fastq,18164
G09-C08_S13_F_filt.fastq,25730
G09-C08_S50_F_filt.fastq,259
G09-C09_S10_F_filt.fastq,43020
G09-D02_S200_F_filt.fastq,60048
G09-D02_S231_F_filt.fastq,857
G09-D02_S277_F_filt.fastq,38384
G09-D08_S234_F_filt.fastq,105
G09-D08_S74_F_filt.fastq,474
G09-E02_S172_F_filt.fastq,20102
G09-E02_S220_F_filt.fastq,91341
G09-G02_S269_F_filt.fastq,41761
G09-G06_S252_F_filt.fastq,20525
G10-C03_S249_F_filt.fastq,24236
G10-C03_S9_F_filt.fastq,41103
G10-C03-GL_S57_F_filt.fastq,690
G10-C04_S279_F_filt.fastq,35717
G10-C04_S90_F_filt.fastq,20851
G10-D05-GL-ONLY_S188_F_filt.fastq,49437
G10-D06_S18_F_filt.fastq,90590
G10-D06-GL-ONLY_S186_F_filt.fastq,2262
G10-D06-GL-ONLY_S236_F_filt.fastq,6765
G10-D08_S127_F_filt.fastq,38646
G10-D10_S77_F_filt.fastq,187990
G10-E02_S183_F_filt.fastq,25554
G10-E02_S273_F_filt.fastq,39234
G10-E03_S193_F_filt.fastq,43469
G10-E04_S145_F_filt.fastq,14232
G10-E05_S124_F_filt.fastq,30963
G10-E06_S100_F_filt.fastq,68186
G10-E06_S68_F_filt.fastq,73069
G10-E08_S29_F_filt.fastq,22719
G10-E09-GL-ONLY_S69_F_filt.fastq,84772
G10-E10_S5_F_filt.fastq,10379
G10-F01_S101_F_filt.fastq,37913
G10-F02_S152_F_filt.fastq,55019
G10-F03_S201_F_filt.fastq,41896
G10-F04_S267_F_filt.fastq,46163
G10-F04-GL_S259_F_filt.fastq,141088
G10-F05GL_S138_F_filt.fastq,71874
G10-F06_S4_F_filt.fastq,56174
G10-F07_S104_F_filt.fastq,60559
G10-F08_S25_F_filt.fastq,16812
G10-F09_S114_F_filt.fastq,77471
G10-F09_S125_F_filt.fastq,40337
G10-F10_S151_F_filt.fastq,55070
G10-G01_S115_F_filt.fastq,69016
G10-G03_S139_F_filt.fastq,83543
G10-G03_S81_F_filt.fastq,42109
G10-G03_S91_F_filt.fastq,65762
G10-G03-GL_S129_F_filt.fastq,36238
G10-G03GL_S187_F_filt.fastq,70863
G10-G03GL_S20_F_filt.fastq,90690
G10-G04-GL-ONLY_S260_F_filt.fastq,136957
G10-G05_S223_F_filt.fastq,63184
G10-G05_S283_F_filt.fastq,38185
G10-G07_S44_F_filt.fastq,61501
G10-G08-GL-ONLY_S284_F_filt.fastq,15164
G10-G09-GL_S282_F_filt.fastq,53168
G10-G10_S53_F_filt.fastq,47992
G10-H01_S73_F_filt.fastq,7308
G10-H01_S78_F_filt.fastq,48874
G10-H02_S285_F_filt.fastq,38410
G10-H02_S56_F_filt.fastq,44906
G10-H03_S225_F_filt.fastq,22181
G10-H04_S121_F_filt.fastq,52268
G10-H05_S32_F_filt.fastq,41873
G10-H05GL_S211_F_filt.fastq,112663
G10-H06_S148_F_filt.fastq,50919
G10-H07-GL-ONLY_S21_F_filt.fastq,88738
G10-I06_S219_F_filt.fastq,37492
G10-I06_S49_F_filt.fastq,30883
G10-I06-GL_S1_F_filt.fastq,405
G10-J06_S52_F_filt.fastq,47175
G10D08_S175_F_filt.fastq,41891
G10D08-GL_S42_F_filt.fastq,55382
G10D09_S195_F_filt.fastq,48031
G10D09_S66_F_filt.fastq,101
G10E01_S176_F_filt.fastq,53101
G10E01-GL_S248_F_filt.fastq,88479
G10E07_S247_F_filt.fastq,87738
G10F05_S213_F_filt.fastq,73388
G10F05_S8_F_filt.fastq,53062
G10F08-GL_S272_F_filt.fastq,2912
G10G05GL_S67_F_filt.fastq,134316
G10H10-GL-ONLY_S43_F_filt.fastq,73338
G10I05_S244_F_filt.fastq,3431
G10I05_S253_F_filt.fastq,885
G10I05-GL_S243_F_filt.fastq,1483
G10J03_S199_F_filt.fastq,860
G10J03GL_S210_F_filt.fastq,95876
G11-A02_S128_F_filt.fastq,45095
G11-A02-GL_S235_F_filt.fastq,114677
G11-A07-GL-ONLY_S153_F_filt.fastq,430
NO-ID_S251_F_filt.fastq,23025
Undetermined_S0_F_filt.fastq,761263
