,Raw_reads
G01-A02_S233_F_filt.fastq,113147
G01-A02_S93_F_filt.fastq,71233
G01-D01_S99_F_filt.fastq,54363
G01-E04_S12_F_filt.fastq,19773
G01-E04_S55_F_filt.fastq,16589
G01-F09_S212_F_filt.fastq,18648
G01-F09_S75_F_filt.fastq,52495
G02-A09_S113_F_filt.fastq,62872
G02-B07_S7_F_filt.fastq,43633
G02-D03_S3_F_filt.fastq,61023
G02-E03_S89_F_filt.fastq,94532
G02-E05_S158_F_filt.fastq,40035
G02-E05_S185_F_filt.fastq,66980
G02-E06_S209_F_filt.fastq,138699
G02-E08_S246_F_filt.fastq,56865
G02-F03_S165_F_filt.fastq,99929
G02-F04_S41_F_filt.fastq,85802
G03-A06_S270_F_filt.fastq,25119
G03-B06_S222_F_filt.fastq,35227
G03-C01_S281_F_filt.fastq,56991
G03-C03_S242__F_filt.fastq,40462
G03-C05_S123_F_filt.fastq,33658
G03-F07_S208_F_filt.fastq,51300
G03-F07_S83_F_filt.fastq,25518
G03-G04_S16_F_filt.fastq,17875
G03-G04_S198_F_filt.fastq,28722
G03-G10_S150_F_filt.fastq,23297
G03-J08_S174_F_filt.fastq,38554
G04-D03_S266_F_filt.fastq,23199
G04-G05_S31_F_filt.fastq,27102
G06-G05_S103_F_filt.fastq,37031
G08-A02_S171_F_filt.fastq,1451
G08-A02_S203_F_filt.fastq,49420
G08-A09_S227_F_filt.fastq,29076
G08-B02_S159_F_filt.fastq,62764
G08-B03_S265_F_filt.fastq,29036
G08-B04_S37_F_filt.fastq,29917
G08-B05_S271_F_filt.fastq,23052
G08-B06_S173_F_filt.fastq,35749
G08-B06_S61_F_filt.fastq,28354
G08-B07_S108_F_filt.fastq,50668
G08-B08_S133_F_filt.fastq,45909
G08-B08_S207_F_filt.fastq,71834
G08-B09_S194_F_filt.fastq,29602
G08-B09_S86_F_filt.fastq,26495
G08-C01_S230_F_filt.fastq,30140
G08-C02_S156_F_filt.fastq,44315
G08-C02_S218_F_filt.fastq,30287
G08-C03_S226_F_filt.fastq,39869
G08-C06_S135_F_filt.fastq,52678
G08-D01_S182_F_filt.fastq,28882
G08-D02_S131_F_filt.fastq,32861
G08-D03_S102_F_filt.fastq,23976
G08-D03_S245_F_filt.fastq,49260
G08-D03_S268_F_filt.fastq,10
G08-D04_S107_F_filt.fastq,44670
G08-D05_S179_F_filt.fastq,39772
G08-D07_S15_F_filt.fastq,20400
G08-D07_S160_F_filt.fastq,41058
G08-D07_S184_F_filt.fastq,30113
G08-D07_S85_F_filt.fastq,34660
G08-D10_S39_F_filt.fastq,24063
G08-E01_S112_F_filt.fastq,75656
G08-E01_S250_F_filt.fastq,50011
G08-E02_S164_F_filt.fastq,87083
G08-E03_S84_F_filt.fastq,28244
G08-E04_S87_F_filt.fastq,37198
G08-E05_S111_F_filt.fastq,69879
G08-E05_S88_F_filt.fastq,31114
G08-E07_S136_F_filt.fastq,53595
G08-E07_S274_F_filt.fastq,72832
G08-E07_S51_F_filt.fastq,19577
G08-E08_S161_F_filt.fastq,132205
G08-E08_S59_F_filt.fastq,67
G08-E09_S11_F_filt.fastq,17366
G08-F07_S109_F_filt.fastq,49399
G08-G01_S134_F_filt.fastq,43009
G08-G01_S137_F_filt.fastq,111558
G08-G03_S40_F_filt.fastq,15433
G08-G03-GL_S280_F_filt.fastq,51780
G08-H06_S237_F_filt.fastq,64359
G08-H06_S36_F_filt.fastq,16272
G08-H08_S140_F_filt.fastq,69788
G08-H09_S206_F_filt.fastq,43354
G08-H10_S157_F_filt.fastq,12318
G08-H10_S181_F_filt.fastq,34369
G08-H10_S255_F_filt.fastq,55714
G08-I01_S221_F_filt.fastq,36073
G08-I01_S38_F_filt.fastq,18217
G08-I02_S197_F_filt.fastq,27339
G08-I02_S254_F_filt.fastq,39046
G08-I02_S98_F_filt.fastq,5558
G08-I03_S122_F_filt.fastq,5886
G08-I04_S62_F_filt.fastq,56
G08-I05_S6_F_filt.fastq,7825
G08-I07_S154_F_filt.fastq,37111
G08-I08_S229_F_filt.fastq,49091
G08-I09_S202_F_filt.fastq,60179
G08E05_S180_F_filt.fastq,36696
G09-B-08_S228_F_filt.fastq,41699
G09-B-08_S275_F_filt.fastq,71481
G09-B06_S278_F_filt.fastq,27033
G09-B06_S64_F_filt.fastq,89647
G09-B07_S17_F_filt.fastq,64320
G09-B07_S58_F_filt.fastq,14658
G09-B08_S141_F_filt.fastq,75064
G09-B08_S30_F_filt.fastq,33183
G09-B09_S106_F_filt.fastq,58462
G09-B10_S82_F_filt.fastq,23440
G09-C01_S132_F_filt.fastq,46840
