"","Diptera","Ephemeroptera","Cyclopoida","Coleoptera","undetermined_arthropoda","undetermined_cnidaria","Lepidoptera","Naviculales","Cichliformes","Venerida","Tubificida","undetermined_ascomycota","Crassiclitellata","Hymenoptera","Amphipoda","Sporidiobolales","undetermined_playhelminthes","Unionida","Hypocreales","undetermined_chlorophyta","Melosirales","Pythiales","Saccharomycetales","samplesite"
"G01-A02_S233_F_filt.fastq",2292,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,133,0,0,"Intermediate"
"G01-A02_S93_F_filt.fastq",719,0,0,0,3,43,0,0,0,0,0,0,0,0,0,1611,0,0,0,9,15,0,0,"Intermediate"
"G01-D01_S99_F_filt.fastq",175,0,0,0,196,69,0,17,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,"Intermediate"
"G01-E04_S12_F_filt.fastq",98,389,7,0,555,29,0,0,0,0,0,288,0,0,0,0,0,0,0,175,0,0,0,"Intermediate"
"G01-E04_S55_F_filt.fastq",0,439,31,0,523,0,0,15,0,0,0,67,0,0,0,0,0,0,0,28,0,0,0,"Intermediate"
"G01-F09_S212_F_filt.fastq",297,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"Intermediate"
"G01-F09_S75_F_filt.fastq",0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Intermediate"
"G02-A09_S113_F_filt.fastq",1439,22,0,953,532,37,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,"Intermediate"
"G02-B07_S7_F_filt.fastq",1336,0,152,120,325,19,0,25,257,0,0,0,0,0,0,0,0,0,0,16,0,0,0,"Littoral"
"G02-D03_S3_F_filt.fastq",11,0,3,0,518,469,0,47,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,"Benthic"
"G02-E03_S89_F_filt.fastq",16216,0,6420,366,3400,0,0,0,605,0,0,0,0,22,0,6,0,0,0,0,0,0,0,"Intermediate"
"G02-E05_S158_F_filt.fastq",1188,0,3471,0,15,0,0,407,0,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,"Intermediate"
"G02-E05_S185_F_filt.fastq",3132,0,11992,0,161,354,0,0,0,0,0,2990,0,0,0,0,0,0,0,13,0,0,0,"Intermediate"
"G02-E06_S209_F_filt.fastq",24209,0,0,0,286,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,"Intermediate"
"G02-E08_S246_F_filt.fastq",25809,0,978,82,1771,9,0,0,158,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Intermediate"
"G02-F03_S165_F_filt.fastq",2614,0,21960,0,625,9,0,22,51,1621,85,0,0,0,0,0,0,0,0,0,0,0,0,"Intermediate"
"G02-F04_S41_F_filt.fastq",7320,4290,12376,0,310,99,0,0,175,110,0,0,0,0,0,0,0,0,0,0,0,0,0,"Intermediate"
"G03-A06_S270_F_filt.fastq",14,0,125,0,87,5,0,0,0,294,194,0,0,0,0,0,0,200,0,0,0,0,0,"Littoral"
"G03-B06_S222_F_filt.fastq",2518,0,6,98,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Intermediate"
"G03-C01_S281_F_filt.fastq",4796,8,13,35,132,0,0,25,0,0,0,5929,0,0,0,0,0,0,0,14,0,0,0,"Intermediate"
"G03-C03_S242_F_filt.fastq",77,0,0,0,24456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Intermediate"
"G03-C05_S123_F_filt.fastq",17,0,0,0,0,0,0,18,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,"Benthic"
"G03-F07_S208_F_filt.fastq",2327,24,2,10,244,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G03-F07_S83_F_filt.fastq",1094,7,22,31,87,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,"Littoral"
"G03-G04_S16_F_filt.fastq",1969,0,12,183,225,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G03-G04_S198_F_filt.fastq",1816,0,0,140,239,0,0,0,0,11,0,0,0,14,0,0,0,0,0,0,0,0,0,"Littoral"
"G03-G10_S150_F_filt.fastq",0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G03-J08_S174_F_filt.fastq",8431,0,13,0,1967,6,0,0,162,0,0,0,0,0,0,0,0,0,0,13,0,0,0,"Littoral"
"G04-D03_S266_F_filt.fastq",845,0,3,0,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,"Littoral"
"G04-G05_S31_F_filt.fastq",1166,0,190,0,96,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,"Benthic"
"G06-G05_S103_F_filt.fastq",1842,0,6,5,117,0,0,0,0,0,5,0,0,0,0,0,0,41,0,0,0,0,0,"Littoral"
"G08-A02_S203_F_filt.fastq",56,14,114,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-A09_S227_F_filt.fastq",2540,0,627,38,987,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-B02_S159_F_filt.fastq",2165,0,2045,0,284,1529,0,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-B03_S265_F_filt.fastq",150,0,6,0,3530,1262,0,0,0,6,0,0,0,0,0,0,0,0,0,53,0,0,0,"Benthic"
"G08-B04_S37_F_filt.fastq",623,0,0,0,217,786,0,68,0,0,0,0,0,0,0,0,0,0,0,24,44,0,0,"Benthic"
"G08-B05_S271_F_filt.fastq",2988,0,175,0,7,57,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,"Benthic"
"G08-B06_S173_F_filt.fastq",40,0,0,0,181,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-B06_S61_F_filt.fastq",152,23,769,0,465,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-B07_S108_F_filt.fastq",22881,19,34,0,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-B08_S133_F_filt.fastq",60,0,1074,0,23,36,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-B08_S207_F_filt.fastq",10511,30,553,0,76,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-B09_S194_F_filt.fastq",27,0,139,59,3,19,0,0,0,6,0,0,0,18,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-B09_S86_F_filt.fastq",96,0,1341,0,40,111,0,23,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-C01_S230_F_filt.fastq",14277,0,15,23,2,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-C02_S156_F_filt.fastq",26,0,79,0,3033,10,0,22,0,12,0,9,8,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-C03_S226_F_filt.fastq",330,0,68,38,1265,58,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,"Benthic"
"G08-C06_S135_F_filt.fastq",3827,0,11498,0,2293,78,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D01_S182_F_filt.fastq",83,13,0,0,2291,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D02_S131_F_filt.fastq",49,0,36,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D03_S102_F_filt.fastq",8172,0,0,0,5324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D03_S245_F_filt.fastq",51,0,10,0,12184,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D04_S107_F_filt.fastq",6800,7,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D05_S179_F_filt.fastq",0,16,634,0,111,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D07_S15_F_filt.fastq",910,0,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G08-D07_S160_F_filt.fastq",1890,0,25,0,2132,218,0,5,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,"Benthic"
