SEQ,Kingdom,Phylum,Class,Order,Family,Genus,Species,SEQ
SEQ576,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined,SEQ576
SEQ212,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined,SEQ212
SEQ94,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined,SEQ94
SEQ5,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,undetermined,undetermined,SEQ5
SEQ329,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,undetermined,undetermined,SEQ329
SEQ353,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,undetermined,undetermined,SEQ353
SEQ116,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,undetermined,undetermined,SEQ116
SEQ144,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,undetermined,undetermined,SEQ144
SEQ156,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,undetermined,undetermined,SEQ156
SEQ226,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,undetermined,undetermined,SEQ226
SEQ275,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,undetermined,undetermined,SEQ275
SEQ37,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,undetermined,undetermined,SEQ37
SEQ72,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,undetermined,undetermined,SEQ72
SEQ186,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,undetermined,undetermined,SEQ186
SEQ4,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,undetermined,undetermined,SEQ4
SEQ65,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,undetermined,undetermined,SEQ65
SEQ772,Metazoa,Chordata,Actinopteri,Perciformes,Serranidae,Epinephelus,Epinephelus_fuscoguttatus,SEQ772
SEQ597,Metazoa,Chordata,Actinopteri,Siluriformes,Clariidae,Clarias,Clarias_gariepinus,SEQ597
SEQ827,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ827
SEQ3,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ3
SEQ1,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ1
SEQ128,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ128
SEQ19,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ19
SEQ328,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ328
SEQ819,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ819
SEQ721,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ721
